StartDate,EndDate,HomeTeam,AwayTeam,Winner,Margin,Type,Ground,Scorecard
1957-07-04,1957-07-09,England,West Indies,Drawn,NA,NA,Nottingham,Test # 441
1957-07-25,1957-07-27,England,West Indies,England,5,Innings,Leeds,Test # 442
1957-08-22,1957-08-24,England,West Indies,England,237,Innings,The Oval,Test # 443
1957-12-23,1957-12-28,South Africa,Australia,Drawn,NA,NA,Johannesburg,Test # 444
1957-12-31,1958-01-03,South Africa,Australia,Australia,141,Innings,Cape Town,Test # 445
1958-01-17,1958-01-23,West Indies,Pakistan,Drawn,NA,NA,Bridgetown,Test # 446
1958-01-24,1958-01-29,South Africa,Australia,Drawn,NA,NA,Durban,Test # 447
1958-02-05,1958-02-11,West Indies,Pakistan,West Indies,120,Runs,Port of Spain,Test # 448
1958-02-07,1958-02-12,South Africa,Australia,Australia,10,Wickets,Johannesburg,Test # 449
1958-02-26,1958-03-04,West Indies,Pakistan,West Indies,174,Innings,Kingston,Test # 450
1958-02-28,1958-03-04,South Africa,Australia,Australia,8,Wickets,Port Elizabeth,Test # 451
1958-03-13,1958-03-19,West Indies,Pakistan,West Indies,8,Wickets,Georgetown,Test # 452
1958-03-26,1958-03-31,West Indies,Pakistan,Pakistan,1,Innings,Port of Spain,Test # 453
1958-06-05,1958-06-09,England,New Zealand,England,205,Runs,Birmingham,Test # 454
1958-06-19,1958-06-21,England,New Zealand,England,148,Innings,Lord's,Test # 455
1958-07-03,1958-07-08,England,New Zealand,England,71,Innings,Leeds,Test # 456
1958-07-24,1958-07-29,England,New Zealand,England,13,Innings,Manchester,Test # 457
1958-08-21,1958-08-26,England,New Zealand,Drawn,NA,NA,The Oval,Test # 458
1958-11-28,1958-12-03,India,West Indies,Drawn,NA,NA,Mumbai (BS),Test # 459
1958-12-05,1958-12-10,Australia,England,Australia,8,Wickets,Brisbane,Test # 460
1958-12-12,1958-12-17,India,West Indies,West Indies,203,Runs,Kanpur,Test # 461
1958-12-31,1959-01-05,Australia,England,Australia,8,Wickets,Melbourne,Test # 462
1958-12-31,1959-01-04,India,West Indies,West Indies,336,Innings,Kolkata,Test # 463
1959-01-09,1959-01-15,Australia,England,Drawn,NA,NA,Sydney,Test # 464
1959-01-21,1959-01-26,India,West Indies,West Indies,295,Runs,Chennai,Test # 465
1959-01-30,1959-02-05,Australia,England,Australia,10,Wickets,Adelaide,Test # 466
1959-02-06,1959-02-11,India,West Indies,Drawn,NA,NA,Delhi,Test # 467
1959-02-13,1959-02-18,Australia,England,Australia,9,Wickets,Melbourne,Test # 468
1959-02-20,1959-02-25,Pakistan,West Indies,Pakistan,10,Wickets,Karachi,Test # 469
1959-02-27,1959-03-02,New Zealand,England,England,99,Innings,Christchurch,Test # 470
1959-03-06,1959-03-08,Pakistan,West Indies,Pakistan,41,Runs,Dhaka,Test # 471
1959-03-14,1959-03-18,New Zealand,England,Drawn,NA,NA,Auckland,Test # 472
1959-03-26,1959-03-31,Pakistan,West Indies,West Indies,156,Innings,Lahore,Test # 473
